Rank,Team_Code,Team,Total_Points
1,BRA,Brazil,1611
2,ESP,Spain,1565
3,POR,Portugal,1249
4,NED,Netherlands,1221
5,ITA,Italy,1184
6,GER,Germany,1107
7,ARG,Argentina,1084
8,ENG,England,1068
9,FRA,France,1044
13,GRE,Greece,968
14,USA,United States,950
15,CHI,Chile,948
16,SER,Serbia,944
17,MEX,Mexico,936
18,URU,Uruguay,902
19,CAM,Cameroon,887
20,AUS,Australia,883
21,NIG,Nigeria,883
24,SLN,Slovenia,860
25,SUI,Switzerland,854
27,COT,C̫te d'Ivoire,846
30,PAR,Paraguay,822
31,ALG,Algeria,821
32,GHA,Ghana,802
34,DEN,Denmark,767
36,SLK,Slovakia,742
38,HON,Honduras,727
45,JAP,Japan,674
47,KOR,South Korea,619
78,NZE,New Zealand,413
83,AFR,South Africa,369
105,NKO,North Korea,292